[2026-08-26T17:21:32Z] guard started (interval 60s, free floor 3000000000 bytes)
[2026-08-26T17:21:32Z] free=18118762496B z16_17_134_kissat_proof=stopped(0B) z13_18_117_kissat_proof=stopped(0B) z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:21:32Z] no proof-logged runs alive; guard exiting
[2026-08-26T17:22:07Z] guard started (interval 60s, free floor 3000000000 bytes)
[2026-08-26T17:22:07Z] free=18120228864B z16_17_134_kissat_proof=1376256B/7000000000B,rss=283184KB z13_18_117_kissat_proof=786432B/5000000000B,rss=192048KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:23:07Z] free=18031280128B z16_17_134_kissat_proof=32440320B/7000000000B,rss=283184KB z13_18_117_kissat_proof=34275328B/5000000000B,rss=192048KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:24:07Z] free=17970122752B z16_17_134_kissat_proof=62062592B/7000000000B,rss=273504KB z13_18_117_kissat_proof=65994752B/5000000000B,rss=187664KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:25:08Z] free=17882841088B z16_17_134_kissat_proof=84344832B/7000000000B,rss=122160KB z13_18_117_kissat_proof=90636288B/5000000000B,rss=70096KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:26:08Z] free=17787678720B z16_17_134_kissat_proof=100794368B/7000000000B,rss=181648KB z13_18_117_kissat_proof=109641728B/5000000000B,rss=170928KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:27:08Z] free=17686474752B z16_17_134_kissat_proof=126091264B/7000000000B,rss=154896KB z13_18_117_kissat_proof=132513792B/5000000000B,rss=160736KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:28:09Z] free=17576009728B z16_17_134_kissat_proof=146341888B/7000000000B,rss=154512KB z13_18_117_kissat_proof=159645696B/5000000000B,rss=135216KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:29:09Z] free=17511526400B z16_17_134_kissat_proof=162988032B/7000000000B,rss=55648KB z13_18_117_kissat_proof=181534720B/5000000000B,rss=94304KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:30:09Z] free=17420128256B z16_17_134_kissat_proof=186318848B/7000000000B,rss=117360KB z13_18_117_kissat_proof=201195520B/5000000000B,rss=92128KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:31:09Z] free=17659879424B z16_17_134_kissat_proof=211288064B/7000000000B,rss=104128KB z13_18_117_kissat_proof=225509376B/5000000000B,rss=105136KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:32:10Z] free=17567305728B z16_17_134_kissat_proof=228655104B/7000000000B,rss=85312KB z13_18_117_kissat_proof=242876416B/5000000000B,rss=114208KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:33:10Z] free=17495830528B z16_17_134_kissat_proof=251002880B/7000000000B,rss=127280KB z13_18_117_kissat_proof=272826368B/5000000000B,rss=148464KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:34:10Z] free=17417592832B z16_17_134_kissat_proof=274399232B/7000000000B,rss=155904KB z13_18_117_kissat_proof=298647552B/5000000000B,rss=147280KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:35:10Z] free=17362677760B z16_17_134_kissat_proof=299106304B/7000000000B,rss=172432KB z13_18_117_kissat_proof=323420160B/5000000000B,rss=139792KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:36:11Z] free=17337282560B z16_17_134_kissat_proof=309002240B/7000000000B,rss=126992KB z13_18_117_kissat_proof=334888960B/5000000000B,rss=96176KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:37:11Z] free=17303195648B z16_17_134_kissat_proof=318373888B/7000000000B,rss=82688KB z13_18_117_kissat_proof=348454912B/5000000000B,rss=73808KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:38:12Z] free=17274880000B z16_17_134_kissat_proof=333643776B/7000000000B,rss=97552KB z13_18_117_kissat_proof=355860480B/5000000000B,rss=122928KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:39:12Z] free=17253273600B z16_17_134_kissat_proof=340066304B/7000000000B,rss=123616KB z13_18_117_kissat_proof=370868224B/5000000000B,rss=89824KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:40:13Z] free=17223901184B z16_17_134_kissat_proof=355467264B/7000000000B,rss=119472KB z13_18_117_kissat_proof=382468096B/5000000000B,rss=72928KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:41:13Z] free=17206730752B z16_17_134_kissat_proof=369885184B/7000000000B,rss=90912KB z13_18_117_kissat_proof=394592256B/5000000000B,rss=111248KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:42:13Z] free=17189097472B z16_17_134_kissat_proof=378863616B/7000000000B,rss=91920KB z13_18_117_kissat_proof=400097280B/5000000000B,rss=125104KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:43:14Z] free=17172000768B z16_17_134_kissat_proof=388890624B/7000000000B,rss=85136KB z13_18_117_kissat_proof=412090368B/5000000000B,rss=80336KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:44:14Z] free=17149997056B z16_17_134_kissat_proof=397475840B/7000000000B,rss=103040KB z13_18_117_kissat_proof=427491328B/5000000000B,rss=94592KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:45:15Z] free=17130967040B z16_17_134_kissat_proof=403963904B/7000000000B,rss=83600KB z13_18_117_kissat_proof=442499072B/5000000000B,rss=105712KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:46:15Z] free=16654774272B z16_17_134_kissat_proof=417333248B/7000000000B,rss=98208KB z13_18_117_kissat_proof=450297856B/5000000000B,rss=141984KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:47:15Z] free=16622673920B z16_17_134_kissat_proof=433848320B/7000000000B,rss=146656KB z13_18_117_kissat_proof=465698816B/5000000000B,rss=145680KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:48:16Z] free=16590635008B z16_17_134_kissat_proof=444727296B/7000000000B,rss=62352KB z13_18_117_kissat_proof=481034240B/5000000000B,rss=71200KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:49:16Z] free=16575426560B z16_17_134_kissat_proof=449249280B/7000000000B,rss=92672KB z13_18_117_kissat_proof=489226240B/5000000000B,rss=126000KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:50:16Z] free=17001697280B z16_17_134_kissat_proof=460652544B/7000000000B,rss=135376KB z13_18_117_kissat_proof=503840768B/5000000000B,rss=151840KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:51:17Z] free=16976732160B z16_17_134_kissat_proof=471334912B/7000000000B,rss=119808KB z13_18_117_kissat_proof=513343488B/5000000000B,rss=151392KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:52:17Z] free=16953262080B z16_17_134_kissat_proof=482738176B/7000000000B,rss=118448KB z13_18_117_kissat_proof=520224768B/5000000000B,rss=146272KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:53:17Z] free=16923877376B z16_17_134_kissat_proof=492765184B/7000000000B,rss=112784KB z13_18_117_kissat_proof=536739840B/5000000000B,rss=149456KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:54:18Z] free=16902410240B z16_17_134_kissat_proof=500760576B/7000000000B,rss=134096KB z13_18_117_kissat_proof=547291136B/5000000000B,rss=151488KB z16_17_133_kissat_proof=stopped(0B)
[2026-08-26T17:55:18Z] free=16893370368B z16_17_134_kissat_proof=514916352B/7000000000B,rss=132416KB z13_18_117_kissat_proof=555483136B/5000000000B,rss=148912KB z16_17_133_kissat_proof=stopped(0B)
